[(616, 273), (672, 337)]
[(607, 272), (662, 337)]
[(590, 273), (651, 335)]
[(583, 272), (639, 334)]
[(573, 274), (630, 332)]
[(560, 275), (620, 334)]
[(549, 277), (614, 336)]
[(539, 273), (599, 332)]
[(528, 274), (587, 333)]
[(520, 277), (585, 338)]
[(514, 273), (581, 335)]
[(505, 274), (576, 339)]
[(503, 273), (561, 337)]
[(502, 275), (555, 333)]
[(490, 275), (552, 338)]
[(486, 275), (549, 335)]
[(484, 273), (539, 332)]
[(480, 276), (535, 334)]
[(476, 275), (530, 334)]
[(471, 276), (526, 337)]
[(469, 280), (521, 333)]
[(462, 278), (516, 333)]
[(456, 278), (511, 335)]
[(447, 279), (506, 332)]
[(444, 278), (501, 331)]
[(444, 277), (498, 338)]
[(441, 279), (489, 336)]
[(437, 280), (486, 329)]
[(439, 276), (489, 334)]
[(433, 280), (488, 338)]
[(430, 275), (487, 332)]
[(434, 276), (486, 337)]
[(436, 277), (489, 338)]
[(437, 276), (485, 334)]
[(436, 275), (486, 336)]
[(434, 277), (490, 337)]
[(440, 276), (486, 330)]
[(441, 276), (486, 335)]
[(439, 275), (489, 337)]
[(438, 275), (487, 335)]
[(437, 274), (490, 335)]
[(437, 277), (494, 333)]
[(437, 276), (496, 336)]
[(434, 278), (496, 335)]
[(436, 276), (497, 338)]
[(434, 277), (498, 336)]
[(438, 275), (497, 334)]
[(435, 273), (501, 337)]
[(438, 273), (497, 337)]
[(433, 274), (499, 338)]
[(434, 273), (497, 335)]
[(433, 276), (503, 340)]
[(433, 274), (499, 333)]
[(443, 273), (505, 338)]
[(444, 274), (499, 335)]
[(444, 276), (502, 333)]
[(444, 276), (501, 338)]
[(444, 278), (502, 337)]
[(445, 277), (505, 337)]
[(441, 277), (506, 338)]
[(436, 276), (507, 338)]
[(445, 272), (507, 336)]
[(449, 275), (505, 340)]
[(444, 276), (509, 339)]
[(448, 277), (508, 338)]
[(449, 275), (508, 338)]
[(447, 276), (506, 336)]
[(450, 276), (507, 337)]
[(450, 279), (512, 338)]
[(450, 284), (511, 340)]
[(443, 278), (511, 337)]
[(450, 274), (504, 340)]
